,Country,GDP_USD_billion,year,region
175,Bhutan,3.11,2024,Asia
176,Burundi,3.08,2024,Africa
177,Curaçao,,,Americas
178,Greenland,,,Americas
179,Central African Republic,2.81,2024,Africa
180,Cape Verde,2.72,2024,
181,Gambia,2.69,2024,Africa
182,Saint Lucia,2.58,2024,Americas
183,Lesotho,2.4,2024,Africa
184,Eritrea,,,Africa
185,Zanzibar,,,
186,Seychelles,2.2,2024,Africa
187,Guinea-Bissau,2.15,2024,Africa
188,Antigua and Barbuda,2.13,2024,Americas
189,San Marino,2.03,2024,Europe
190,East Timor,1.99,2024,
191,Solomon Islands,1.71,2024,Oceania
192,Sint Maarten,,,
193,Comoros,1.42,2024,Africa
194,Grenada,1.41,2024,Americas
195,Turks and Caicos Islands,,,Americas
196,Vanuatu,1.29,2024,Oceania
197,Saint Kitts and Nevis,1.13,2024,Americas
198,Saint Vincent and the Grenadines,1.13,2024,Americas
199,Samoa,1.02,2024,Oceania
200,São Tomé and Príncipe,0.75,2024,
201,Dominica,0.71,2024,Americas
202,Tonga,0.58,2024,Oceania
203,Micronesia,0.48,2024,
204,Kiribati,0.31,2024,Oceania
205,Palau,0.31,2024,Oceania
206,Marshall Islands,0.3,2024,Oceania
207,Nauru,0.16,2024,Oceania
208,Tuvalu,0.07,2024,Oceania
